is_gpt,Avg_Word_Length,Lexical_Richness,Avg_Sent_Length,Reading_Ease,Sentiment_Score,Stopword_Freq,Named_Entity_Freq,Perplexity,NN,.,IN,DT,NNS,PRP,VBD,VBN,RB,:,MD,VB,PRP$,CC,JJ,TO,VBG,",",NNP,RP,WDT,CD,POS,WP,VBZ,WRB,VBP,JJR
0,3.8937112488928256,0.36935341009743133,104.80392156862744,78.08,0.9938,0.45969884853852966,0.015943312666076175,34.3026237487793,129,50.0,128.0,91.0,17.0,130.0,82.0,23.0,65.0,18.0,27.0,58.0,33.0,29.0,54,38.0,15.0,49.0,34.0,3.0,5.0,8.0,5.0,4.0,12.0,4.0,8.0,4.0
0,3.8933333333333335,0.367843137254902,58.39393939393939,68.67,0.9623,0.32235294117647056,0.03686274509803922,21.734405517578125,141,99.0,105.0,114.0,35.0,93.0,91.0,30.0,70.0,5.0,18.0,40.0,26.0,22.0,45,18.0,21.0,65.0,71.0,2.0,3.0,6.0,7.0,3.0,17.0,9.0,27.0,1.0
0,3.80948275862069,0.36724137931034484,153.82857142857142,73.21,0.9076,0.45689655172413796,0.01896551724137931,26.46436309814453,159,35.0,129.0,120.0,34.0,75.0,96.0,34.0,56.0,11.0,8.0,24.0,27.0,63.0,47,25.0,27.0,83.0,45.0,3.0,3.0,12.0,0.0,7.0,5.0,8.0,10.0,2.0
0,3.72078431372549,0.38745098039215686,58.125,85.79,0.6989,0.3388235294117647,0.03058823529411765,43.82743835449219,134,95.0,105.0,96.0,24.0,96.0,90.0,23.0,70.0,19.0,10.0,45.0,22.0,45.0,71,34.0,22.0,65.0,61.0,12.0,1.0,4.0,5.0,4.0,13.0,6.0,20.0,4.0
0,4.505,0.4816666666666667,109.44827586206897,39.97,-0.9086,0.04,0.03166666666666667,151.7008056640625,587,56.0,29.0,26.0,7.0,0.0,9.0,3.0,12.0,51.0,0.0,26.0,0.0,31.0,118,0.0,0.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,23.0,1.0
0,5.196491228070175,0.5201754385964912,237.75862068965517,53.38,-0.9994,0.034210526315789476,0.13421052631578947,100.46729278564453,400,28.0,32.0,8.0,26.0,1.0,17.0,1.0,15.0,8.0,3.0,9.0,1.0,3.0,121,0.0,1.0,69.0,338.0,0.0,0.0,1.0,1.0,7.0,20.0,0.0,25.0,1.0
0,3.688925081433225,0.3729641693811075,76.33802816901408,89.18,0.9982,0.38680781758957655,0.012214983713355049,25.380809783935547,157,70.0,120.0,122.0,39.0,83.0,101.0,14.0,54.0,10.0,14.0,34.0,21.0,52.0,60,17.0,20.0,106.0,26.0,11.0,4.0,2.0,1.0,3.0,6.0,13.0,11.0,2.0
0,3.6596516690856316,0.3309143686502177,47.63934426229508,78.25,-0.9787,0.2888243831640058,0.036284470246734396,27.834501266479492,169,120.0,121.0,107.0,34.0,87.0,78.0,15.0,62.0,20.0,14.0,48.0,28.0,26.0,47,20.0,18.0,70.0,68.0,17.0,1.0,2.0,14.0,8.0,19.0,5.0,37.0,4.0
0,3.518282988871224,0.37917329093799684,56.159574468085104,93.95,0.9903,0.32432432432432434,0.017488076311605722,31.877059936523438,153,93.0,108.0,106.0,53.0,109.0,85.0,25.0,57.0,5.0,15.0,43.0,23.0,46.0,56,23.0,7.0,82.0,43.0,7.0,1.0,7.0,2.0,2.0,13.0,1.0,27.0,2.0
0,3.5568181818181817,0.35378787878787876,65.8452380952381,84.17,-0.8756,0.35,0.04924242424242424,37.29457473754883,143,84.0,125.0,131.0,27.0,100.0,60.0,24.0,56.0,20.0,7.0,29.0,18.0,47.0,67,17.0,10.0,73.0,78.0,6.0,6.0,5.0,6.0,8.0,29.0,4.0,43.0,1.0
0,3.5735056542810986,0.3893376413570275,81.52307692307693,80.62,0.9942,0.3756058158319871,0.035541195476575124,38.58405685424805,119,64.0,121.0,98.0,32.0,119.0,39.0,21.0,62.0,23.0,25.0,56.0,16.0,31.0,60,29.0,13.0,52.0,64.0,8.0,4.0,11.0,4.0,6.0,24.0,9.0,45.0,3.0
0,3.97571189279732,0.41708542713567837,91.3225806451613,71.65,-0.999,0.38023450586264657,0.01507537688442211,40.09529113769531,144,62.0,125.0,116.0,44.0,73.0,86.0,33.0,77.0,11.0,10.0,34.0,17.0,41.0,72,27.0,23.0,79.0,25.0,5.0,8.0,6.0,3.0,5.0,2.0,2.0,16.0,7.0
0,4.221482098251457,0.4487926727726894,101.67796610169492,63.29,0.9934,0.2581182348043297,0.12323064113238967,22.17104721069336,105,58.0,146.0,73.0,47.0,25.0,16.0,24.0,36.0,16.0,11.0,28.0,12.0,32.0,59,29.0,9.0,55.0,295.0,0.0,3.0,11.0,8.0,2.0,12.0,3.0,14.0,0.0
0,3.2688953488372094,0.30886627906976744,34.11764705882353,98.11,0.9784,0.27398255813953487,0.02616279069767442,19.447343826293945,137,152.0,87.0,118.0,30.0,133.0,107.0,12.0,50.0,3.0,14.0,39.0,27.0,21.0,47,15.0,27.0,66.0,52.0,18.0,0.0,2.0,3.0,11.0,35.0,6.0,31.0,1.0
0,4.37643932683791,0.479185119574845,281.9047619047619,44.24,0.9996,0.3870682019486271,0.03897254207263064,45.76994705200195,132,21.0,132.0,119.0,65.0,34.0,16.0,32.0,31.0,5.0,13.0,34.0,18.0,41.0,88,24.0,12.0,85.0,133.0,1.0,12.0,5.0,0.0,10.0,23.0,4.0,25.0,3.0
0,3.788961038961039,0.3977272727272727,85.76923076923077,72.16,0.9973,0.3814935064935065,0.002435064935064935,51.72857666015625,147,63.0,113.0,90.0,35.0,120.0,109.0,43.0,79.0,45.0,9.0,44.0,36.0,29.0,68,29.0,15.0,69.0,7.0,5.0,5.0,7.0,2.0,3.0,4.0,5.0,10.0,4.0
0,3.6348408710217757,0.3492462311557789,68.73684210526316,91.21,0.9876,0.304857621440536,0.06030150753768844,24.537094116210938,95,75.0,93.0,59.0,19.0,83.0,73.0,15.0,60.0,1.0,12.0,28.0,25.0,32.0,70,14.0,18.0,79.0,224.0,7.0,0.0,10.0,2.0,7.0,13.0,8.0,19.0,2.0
0,3.7406015037593985,0.16729323308270677,145.47058823529412,75.47,0.95,0.5968045112781954,0.0,19.70500373840332,97,33.0,116.0,114.0,34.0,126.0,33.0,19.0,87.0,1.0,9.0,44.0,6.0,59.0,74,41.0,24.0,30.0,0.0,0.0,9.0,7.0,0.0,9.0,25.0,4.0,37.0,0.0
0,3.857484076433121,0.3765923566878981,60.51063829787234,76.93,0.999,0.3144904458598726,0.035828025477707005,30.15961265563965,155,93.0,114.0,109.0,36.0,91.0,94.0,26.0,48.0,15.0,10.0,27.0,32.0,33.0,61,22.0,12.0,57.0,81.0,7.0,3.0,10.0,9.0,3.0,12.0,5.0,16.0,1.0
0,3.7468982630272953,0.3200992555831266,105.34615384615384,85.83,0.963,0.36228287841191065,0.062034739454094295,16.616182327270508,106,51.0,84.0,125.0,27.0,89.0,73.0,11.0,44.0,5.0,14.0,32.0,23.0,73.0,46,15.0,13.0,98.0,139.0,9.0,6.0,23.0,14.0,5.0,28.0,6.0,10.0,1.0
0,3.813758389261745,0.37416107382550334,140.69230769230768,70.16,0.9985,0.4186241610738255,0.01929530201342282,29.820695877075195,143,39.0,145.0,104.0,41.0,59.0,66.0,15.0,72.0,16.0,18.0,45.0,29.0,56.0,91,20.0,22.0,104.0,25.0,6.0,9.0,6.0,7.0,6.0,3.0,3.0,10.0,3.0
0,3.9956521739130433,0.391304347826087,158.85714285714286,59.37,0.9975,0.44,0.021739130434782608,35.55910873413086,155,34.0,135.0,69.0,23.0,78.0,96.0,14.0,58.0,19.0,14.0,31.0,50.0,50.0,80,32.0,20.0,80.0,41.0,6.0,4.0,7.0,13.0,9.0,1.0,7.0,1.0,5.0
0,3.529126213592233,0.35841423948220064,49.714285714285715,94.66,0.9981,0.3762135922330097,0.020226537216828478,32.55949783325195,124,104.0,115.0,93.0,20.0,136.0,78.0,38.0,79.0,4.0,26.0,57.0,18.0,31.0,65,27.0,13.0,49.0,41.0,7.0,3.0,2.0,5.0,3.0,20.0,6.0,23.0,2.0
0,4.069282136894825,0.3981636060100167,63.35164835164835,77.33,-0.9805,0.35225375626043404,0.019198664440734557,44.448524475097656,150,91.0,102.0,114.0,35.0,78.0,67.0,23.0,75.0,11.0,37.0,57.0,15.0,40.0,91,22.0,12.0,42.0,40.0,10.0,6.0,8.0,2.0,4.0,14.0,1.0,12.0,2.0
0,3.7868442964196505,0.4096586178184846,71.39473684210526,83.25,0.999,0.34554537885095754,0.013322231473771857,28.171335220336914,147,73.0,97.0,91.0,44.0,86.0,87.0,17.0,82.0,5.0,23.0,37.0,34.0,51.0,80,18.0,27.0,57.0,24.0,5.0,3.0,8.0,5.0,7.0,15.0,7.0,14.0,2.0
0,4.506678539626002,0.47996438112199463,154.02564102564102,53.95,0.8935,0.39982190560997327,0.031166518254674976,54.0963134765625,157,38.0,146.0,143.0,63.0,18.0,65.0,32.0,44.0,9.0,11.0,30.0,30.0,36.0,78,21.0,11.0,54.0,65.0,1.0,7.0,6.0,4.0,5.0,6.0,4.0,3.0,5.0
0,3.9353484466834594,0.39378673383711166,79.7,72.26,0.9938,0.3635600335852225,0.0436607892527288,25.901504516601562,116,69.0,130.0,123.0,43.0,57.0,66.0,19.0,68.0,8.0,10.0,26.0,13.0,34.0,66,13.0,13.0,58.0,94.0,6.0,9.0,17.0,5.0,14.0,21.0,3.0,28.0,4.0
0,3.6661237785016287,0.3566775244299674,67.2125,83.96,-0.6997,0.41205211726384366,0.006514657980456026,28.98944091796875,140,79.0,121.0,100.0,29.0,121.0,87.0,24.0,86.0,6.0,21.0,53.0,28.0,40.0,57,26.0,22.0,70.0,12.0,4.0,8.0,5.0,0.0,4.0,9.0,6.0,14.0,1.0
0,3.748960931005819,0.3848711554447215,77.11428571428571,81.33,0.9936,0.370739817123857,0.03657522859517872,31.97997283935547,120,70.0,93.0,111.0,44.0,95.0,83.0,26.0,64.0,4.0,25.0,62.0,15.0,48.0,63,35.0,21.0,60.0,57.0,7.0,3.0,7.0,1.0,11.0,3.0,4.0,17.0,4.0
0,3.33974358974359,0.358974358974359,87.62068965517241,86.54,-0.9833,0.38301282051282054,0.028044871794871796,36.8222770690918,129,57.0,115.0,101.0,26.0,125.0,81.0,21.0,61.0,10.0,8.0,35.0,21.0,44.0,44,29.0,23.0,97.0,54.0,11.0,4.0,11.0,8.0,7.0,23.0,7.0,24.0,4.0
0,3.9934959349593497,0.4349593495934959,90.65625,70.63,0.9991,0.35203252032520327,0.02113821138211382,45.99557113647461,154,63.0,123.0,93.0,57.0,69.0,81.0,35.0,72.0,21.0,3.0,29.0,31.0,39.0,68,20.0,18.0,80.0,58.0,2.0,7.0,3.0,4.0,2.0,11.0,6.0,24.0,3.0
0,4.128408091468778,0.3922603342128408,85.18181818181819,73.47,0.9401,0.36939313984168864,0.0316622691292876,32.1069450378418,182,66.0,114.0,143.0,56.0,51.0,113.0,34.0,44.0,13.0,5.0,23.0,13.0,36.0,77,20.0,9.0,40.0,51.0,4.0,7.0,8.0,2.0,3.0,2.0,7.0,1.0,1.0
0,3.813076278290025,0.4719195305951383,124.8409090909091,77.67,0.9981,0.3143336127409891,0.10310142497904443,73.05109405517578,95,43.0,101.0,92.0,23.0,75.0,33.0,6.0,31.0,13.0,14.0,26.0,31.0,49.0,27,25.0,5.0,96.0,275.0,0.0,2.0,35.0,8.0,4.0,15.0,16.0,19.0,2.0
0,4.083333333333333,0.443859649122807,156.02777777777777,72.09,0.9924,0.38859649122807016,0.03508771929824561,76.76803588867188,171,35.0,148.0,113.0,45.0,39.0,43.0,11.0,50.0,6.0,11.0,28.0,19.0,48.0,66,20.0,16.0,74.0,94.0,6.0,6.0,24.0,13.0,8.0,11.0,4.0,8.0,5.0
0,4.082133784928027,0.45131244707874685,186.7741935483871,61.7,0.9992,0.40304826418289585,0.015241320914479255,52.19594955444336,145,38.0,136.0,116.0,63.0,61.0,11.0,30.0,48.0,17.0,16.0,41.0,23.0,52.0,84,21.0,20.0,81.0,55.0,2.0,8.0,6.0,5.0,6.0,37.0,5.0,31.0,5.0
